keypressFaceRota1,keypressFaceRota2,rtFaceRota1,rtFaceRota2,tr,trTy,nbPrs,nbCyPr1,nbCyBlnk,nbCyPr2,trTyDog,nbFqs,trTyFq,fqLoc,fqFace,cueFq,cueLoc,nbCyCue,nbCyExt,nbCyRota,cyStaSeq,cyEndPr1C,cyEndPr1A,cyEndBlnk,cyEndPr2C,cyEndPr2A,cyEndSeq,cyEndTr,cyStaRota,cyEndCue,cyEndFadeIn,cyEndExp,cySendEvt,cyEndKbCk1,cyEndKbCk2
0,0,0,0,1,1,1,175,0,0,0,1,1,Right,1,1,Right,0,0,20,1,96,175,501,501,501,500,501,390,0,50,450,501,235,450
0,0,0,0,2,2,1,190,0,0,0,1,1,Right,2,2,Right,0,0,5,1,92,190,501,501,501,500,501,375,0,50,450,501,250,435
0,0,0,0,3,2,1,190,0,0,0,1,1,Left,2,2,Left,0,0,20,1,88,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,4,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,74,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,5,1,1,175,0,0,0,1,1,Right,2,2,Right,0,0,5,1,93,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,6,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,20,1,93,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,7,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,87,175,501,501,501,500,501,390,0,50,450,501,235,450
0,0,0,0,8,1,1,175,0,0,0,1,1,Left,2,2,Left,0,0,5,1,91,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,9,1,1,175,0,0,0,1,1,Right,1,1,Right,0,0,5,1,74,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,10,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,82,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,11,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,20,1,103,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,12,2,1,190,0,0,0,1,1,Left,2,1,Left,0,0,20,1,101,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,13,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,5,1,83,190,501,501,501,500,501,375,0,50,450,501,250,435
0,0,0,0,14,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,5,1,77,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,15,1,1,175,0,0,0,1,1,Right,1,2,Right,0,0,20,1,75,175,501,501,501,500,501,390,0,50,450,501,235,450
0,0,0,0,16,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,20,1,80,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,17,1,1,175,0,0,0,1,1,Left,2,2,Left,0,0,20,1,86,175,501,501,501,500,501,390,0,50,450,501,235,450
0,0,0,0,18,2,1,190,0,0,0,1,1,Left,2,2,Left,0,0,5,1,100,190,501,501,501,500,501,375,0,50,450,501,250,435
0,0,0,0,19,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,5,1,95,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,20,1,1,175,0,0,0,1,1,Right,2,1,Right,0,0,5,1,89,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,21,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,5,1,76,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,22,1,1,175,0,0,0,1,1,Right,2,2,Right,0,0,5,1,92,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,23,2,1,190,0,0,0,1,1,Right,1,1,Right,0,0,20,1,83,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,24,2,1,190,0,0,0,1,1,Left,2,2,Left,0,0,20,1,84,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,25,2,1,190,0,0,0,1,1,Left,1,1,Left,0,0,20,1,83,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,26,1,1,175,0,0,0,1,1,Left,1,2,Left,0,0,5,1,77,175,501,501,501,500,501,375,0,50,450,501,235,435
0,0,0,0,27,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,20,1,85,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,28,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,20,1,86,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,29,2,1,190,0,0,0,1,1,Left,2,2,Left,0,0,20,1,89,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,30,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,20,1,89,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,31,2,1,190,0,0,0,1,1,Left,1,2,Left,0,0,5,1,86,190,501,501,501,500,501,375,0,50,450,501,250,435
0,0,0,0,32,1,1,175,0,0,0,1,1,Left,2,1,Left,0,0,20,1,80,175,501,501,501,500,501,390,0,50,450,501,235,450
0,0,0,0,33,2,1,190,0,0,0,1,1,Right,2,1,Right,0,0,20,1,107,190,501,501,501,500,501,390,0,50,450,501,250,450
0,0,0,0,34,2,1,190,0,0,0,1,1,Right,1,2,Right,0,0,5,1,101,190,501,501,501,500,501,375,0,50,450,501,250,435
0,0,0,0,35,1,1,175,0,0,0,1,1,Left,1,1,Left,0,0,5,1,90,175,501,501,501,500,501,375,0,50,450,501,235,435
