trNb,ptbMissedFlips,ptbFlipsOver17ms,dinTrDur,dinDiffMean,dinDiffStd,dinTrigOffset,trTrig,trFqTy,dinStimOnset,eTimeDIN2,eTimeDIN6,keypressMiss
1,0,0,7502,833.5,0.755928946018454,26,s1Lf,1,6535,835,4169,0
2,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,39584,835,4169,0
3,0,0,7502,833.625,1.50594061730772,25,s1Rf,1,57183,837,4169,0
4,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,71133,836,4169,0
5,0,0,7501,833.5,0.755928946018454,26,s1Lf,1,84450,835,4168,0
6,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,97916,836,4169,0
7,0,0,7503,833.625,0.916125381312904,26,s1Lf,1,109799,835,4169,0
8,0,0,7503,833.625,1.06066017177982,25,s1Lf,1,121698,836,4170,0
9,0,0,7502,833.625,1.50594061730772,26,s1Rf,1,135581,837,4169,0
10,0,0,7502,833.625,1.50594061730772,25,s1Lf,1,152197,837,4169,0
11,0,0,7502,833.5,1.0690449676497,26,s1Lf,1,165647,836,4169,0
12,0,0,7501,833.5,0.755928946018454,27,s1Rf,1,177681,835,4168,0
13,0,0,7502,833.625,0.744023809142845,26,s1Lf,1,188797,835,4169,0
14,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,201396,835,4169,0
15,0,0,7502,833.625,1.06066017177982,26,s1Rf,1,214729,836,4169,0
16,0,0,7502,833.625,0.744023809142845,26,s1Rf,1,226312,835,4169,0
17,0,0,7501,833.5,0.755928946018454,27,s1Rf,1,238779,835,4168,0
18,0,0,7502,833.5,0.755928946018454,26,s1Rf,1,251945,835,4168,0
19,0,0,7502,833.625,1.06066017177982,26,s1Lf,1,264261,836,4169,0
20,0,0,7502,833.625,0.744023809142845,27,s1Rf,1,277711,835,4169,0
21,0,0,7503,833.625,1.59798980865694,25,s2Rf,2,320908,837,4170,0
22,0,0,7502,833.5,0.755928946018454,26,s2Lf,2,333826,834,4169,0
23,0,0,7503,833.625,1.30247018062932,25,s2Rf,2,345241,836,4169,0
24,0,0,7501,833.5,1.30930734141595,25,s2Lf,2,358441,836,4169,0
25,0,0,7503,833.75,1.16496474502144,25,s2Lf,2,370540,836,4170,0
26,0,0,7502,833.625,1.06066017177982,25,s2Rf,2,384340,836,4169,0
27,0,0,7502,833.5,0.755928946018454,26,s2Rf,2,397590,835,4168,0
28,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,411573,835,4169,0
29,0,0,7503,833.75,1.38873014965883,25,s2Rf,2,424755,837,4170,0
30,0,0,7501,833.5,0.755928946018454,26,s2Rf,2,437356,835,4168,0
31,0,0,7502,833.625,0.744023809142845,25,s2Rf,2,449205,835,4169,0
32,0,0,7502,833.5,0.755928946018454,26,s2Lf,2,461538,835,4168,0
33,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,476521,836,4169,0
34,0,0,7502,833.625,0.744023809142845,25,s2Lf,2,492137,835,4169,0
35,0,0,7502,833.625,1.06066017177982,26,s2Rf,2,503870,836,4169,0
36,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,517286,836,4169,0
37,0,0,7503,833.625,1.50594061730772,25,s2Lf,2,530052,837,4169,0
38,0,0,7502,833.625,0.744023809142845,26,s2Rf,2,544369,835,4169,0
39,0,0,7502,833.625,1.06066017177982,25,s2Lf,2,557635,836,4169,0
40,0,0,7502,833.625,1.06066017177982,26,s2Lf,2,573785,836,4169,0
