tr,intNum,intDur_Ms,intDurCA_Ms,intDurOA_Ms
1,4,136,92,92
2,3,184,0,138
3,5,302,0,138
4,6,354,0,138
5,0,0,0,0
6,8,394,0,276
7,2,44,0,0
8,0,0,0,0
9,0,0,0,0
10,4,138,0,0
11,0,0,0,0
12,0,0,0,0
13,6,330,0,178
14,0,0,0,0
15,0,0,0,0
16,7,464,0,178
17,1,118,0,0
18,2,384,0,0
19,4,738,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,5,926,0,0
24,6,1070,0,0
25,3,356,104,126
26,4,476,104,126
27,5,606,104,126
28,7,832,188,268
29,9,1114,56,268
30,11,1334,56,424
31,13,1634,56,424
32,14,1702,56,424
33,0,0,0,0
34,1,122,0,0
35,3,396,0,0
36,5,650,0,0
37,6,780,0,130
38,7,968,0,130
39,2,360,0,360
40,3,554,0,360
