tr,trSta,fixDur,fixSta,fixEnd,rAOI,eTimeFixSta,eTimeFixEnd
1,4455445,3272,4455445,4458717,2,0,3272
1,4455445,4060,4458727,4462787,1,3282,7342
2,4472795,7500,4472795,4480293,2,0,7498
3,4484361,7500,4484361,4491859,2,0,7498
4,4495361,7500,4495361,4502859,2,0,7498
5,4505745,7500,4505745,4513243,2,0,7498
6,4521813,7500,4521813,4529311,2,0,7498
7,4534163,7284,4534163,4541447,2,0,7284
8,4547663,7500,4547663,4555161,2,0,7498
9,4558679,7500,4558679,4566177,2,0,7498
10,4572997,5828,4574669,4580495,2,1672,7498
11,4588163,7500,4588163,4595661,2,0,7498
12,4600063,7500,4600063,4607561,2,0,7498
13,4613115,7500,4613115,4620613,2,0,7498
14,4627115,7500,4627115,4634613,2,0,7498
15,4641449,7500,4641449,4648947,2,0,7498
16,4653265,7500,4653265,4660763,2,0,7498
17,4666233,7500,4666233,4673731,2,0,7498
18,4678865,7500,4678865,4686363,2,0,7498
19,4691517,7500,4691517,4699015,2,0,7498
20,4703649,6340,4704809,4711147,2,1160,7498
21,4730433,3592,4730433,4734025,3,0,3592
22,4742401,7500,4742401,4749899,3,0,7498
23,4754301,7500,4754301,4761799,3,0,7498
24,4766717,7500,4766717,4774215,3,0,7498
25,4779985,7500,4779985,4787483,3,0,7498
26,4794835,7500,4794835,4802333,3,0,7498
27,4807769,7500,4807769,4815267,3,0,7498
28,4820553,7500,4820553,4828051,3,0,7498
29,4837469,7500,4837469,4844967,3,0,7498
30,4849503,7500,4849503,4857001,3,0,7498
31,4865837,7500,4865837,4873335,3,0,7498
32,4876171,6900,4876171,4883071,3,0,6900
33,4889855,7500,4889855,4897353,3,0,7498
34,4901671,7500,4901671,4909169,3,0,7498
35,4913321,7500,4913321,4920819,3,0,7498
36,4925089,7500,4925089,4932587,3,0,7498
37,4937589,7500,4937589,4945087,3,0,7498
38,4949173,7500,4949173,4956671,3,0,7498
39,4960789,7500,4960789,4968287,3,0,7498
40,4971889,7500,4971889,4979389,3,0,7500
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
